iter	Passed	Remaining
0	127	127300
1	140	69863
2	151	50507
3	163	40819
4	176	35027
5	187	31128
6	199	28348
7	211	26250
8	223	24634
9	235	23317
10	247	22216
11	258	21278
12	269	20461
13	281	19801
14	292	19200
15	303	18675
16	314	18207
17	325	17773
18	336	17374
19	347	17014
20	357	16687
21	368	16391
22	379	16127
23	390	15888
24	402	15707
25	412	15468
26	422	15228
27	432	15002
28	441	14796
29	451	14602
30	461	14412
31	470	14229
32	480	14071
33	489	13915
34	499	13767
35	508	13618
36	518	13493
37	528	13390
38	539	13302
39	551	13236
40	562	13148
41	572	13058
42	583	12979
43	593	12901
44	604	12818
45	613	12727
46	623	12645
47	634	12577
48	644	12501
49	653	12419
50	663	12348
51	673	12280
52	683	12215
53	693	12154
54	704	12103
55	715	12055
56	725	11998
57	734	11935
58	745	11884
59	755	11832
60	764	11775
61	774	11718
62	784	11663
63	793	11609
64	803	11562
65	814	11528
66	824	11479
67	833	11429
68	843	11379
69	852	11331
70	862	11284
71	871	11237
72	881	11191
73	890	11145
74	899	11099
75	909	11063
76	919	11025
77	929	10987
78	939	10950
79	948	10907
80	958	10873
81	967	10833
82	976	10793
83	986	10757
84	996	10722
85	1005	10690
86	1015	10660
87	1026	10637
88	1037	10616
89	1046	10583
90	1056	10551
91	1065	10517
92	1077	10506
93	1089	10497
94	1100	10481
95	1110	10460
96	1121	10442
97	1133	10433
98	1145	10424
99	1154	10394
100	1166	10381
101	1177	10368
102	1189	10355
103	1198	10327
104	1207	10293
105	1218	10274
106	1228	10251
107	1238	10228
108	1248	10203
109	1258	10180
110	1268	10157
111	1278	10135
112	1287	10107
113	1297	10084
114	1306	10057
115	1317	10036
116	1327	10019
117	1338	10001
118	1348	9982
119	1358	9963
120	1368	9945
121	1378	9920
122	1388	9898
123	1397	9875
124	1407	9852
125	1416	9828
126	1426	9806
127	1436	9785
128	1446	9766
129	1456	9744
130	1466	9725
131	1477	9714
132	1486	9692
133	1496	9673
134	1506	9652
135	1515	9630
136	1525	9607
137	1534	9584
138	1544	9565
139	1554	9548
140	1564	9528
141	1573	9507
142	1583	9490
143	1594	9476
144	1605	9467
145	1616	9454
146	1627	9441
147	1637	9427
148	1647	9408
149	1657	9390
150	1667	9376
151	1677	9358
152	1687	9341
153	1697	9326
154	1708	9314
155	1718	9300
156	1729	9287
157	1742	9283
158	1753	9272
159	1763	9260
160	1775	9254
161	1786	9239
162	1796	9225
163	1806	9210
164	1818	9201
165	1828	9186
166	1840	9179
